"InstanceName","Solver","SequentialRuntime","PredictedRuntime","Prediction_StandardError","ParallelRuntime","VBSRuntime","cores","ResultingTime"
"nurikabe_p06.pddl","symbolic.bidirectional",1.2,47.0476265060241,177.195095420669,1.25,0.74,1,"1.25"
"nurikabe_p06.pddl","Delfi2",12.58,82.8475913654618,290.534481624562,17.04,0.74,2,"17.04"
"nurikabe_p06.pddl","blind",0.74,111.629887048193,385.627265315925,0.76,0.74,1,"Inf"
"nurikabe_p06.pddl","Delfi1",3.14,146.819718875502,413.147143521285,3.16,0.74,2,"Inf"
"nurikabe_p06.pddl","DecStar",4.29,156.723193775101,406.694209029858,4.29,0.74,1,"Inf"
"nurikabe_p06.pddl","Metis2",0.79,159.358805220884,485.601221003007,0.82,0.74,2,"Inf"
"nurikabe_p06.pddl","Scorpion",201.13,325.206943775101,322.113313351556,200.73,0.74,1,"Inf"
"nurikabe_p06.pddl","Metis1",0.78,169.572527108434,499.065540640607,0.76,0.74,2,"Inf"
"nurikabe_p06.pddl","FDMS1",2.6,227.858058232932,521.372572898379,2.63,0.74,1,"Inf"
"nurikabe_p06.pddl","Planning.PDBs",2.08,373.519662650602,476.29099697286,2.08,0.74,2,"Inf"
"nurikabe_p06.pddl","Complementary2",2.06,407.944569133678,497.895764312915,2.11,0.74,1,"Inf"
"nurikabe_p06.pddl","Complementary1",1.69,412.259039156627,553.342956371106,1.79,0.74,2,"Inf"
"nurikabe_p06.pddl","FDMS2",2.62,509.008403614458,639.244968175657,2.63,0.74,1,"Inf"
"nurikabe_p06.pddl","Symple.2",7.29,1050.81847791165,686.446848075835,7.95,0.74,2,"Inf"
"nurikabe_p06.pddl","Symple.1",7.13,1149.90816767068,647.624634463066,7.57,0.74,1,"Inf"
