"InstanceName","Solver","SequentialRuntime","PredictedRuntime","Prediction_StandardError","ParallelRuntime","VBSRuntime","cores","ResultingTime"
"sat/sted5_0x24204-50.cnf","glu_mix",336.235,2330.68223560606,2227.25454618646,377.42,25.668,2,"377.42"
"sat/sted5_0x24204-50.cnf","gluHack",318.223,2311.46087075758,2332.89508450212,365.84,25.668,1,"365.84"
"sat/sted5_0x24204-50.cnf","smallsat",137.763,2387.14307954545,2257.41581846612,148.67,25.668,4,"148.67"
"sat/sted5_0x24204-50.cnf","glucose.3.0_PADC_3",92.978,2400.45980227273,2251.50512910897,102.68,25.668,6,"102.68"
"sat/sted5_0x24204-50.cnf","abcdsat_r18",663.006,2343.40003787879,2313.71351022179,5000,25.668,3,"Inf"
"sat/sted5_0x24204-50.cnf","Lingeling",670.981,2534.4966930303,2132.07646800855,5000,25.668,8,"Inf"
"sat/sted5_0x24204-50.cnf","inIDGlucose",905.376,2392.76331015151,2284.62300492667,5000,25.668,5,"Inf"
"sat/sted5_0x24204-50.cnf","Glucose_Hack_Kiel_fastBVE",356.828,2427.7089180303,2292.82104499283,421.31,25.668,7,"421.31"
"sat/sted5_0x24204-50.cnf","Maple_LCM.BCrestart",91.124,2550.34088575758,2290.70872431783,100.68,25.668,9,"100.68"
"sat/sted5_0x24204-50.cnf","MapleCOMSPS_LRB_VSIDS_2_fix",297.97,2588.03121075758,2311.20516011224,329.07,25.668,10,"329.07"
"sat/sted5_0x24204-50.cnf","MapleCOMSPS_CHB_VSIDS_drup",283.277,2600.11528272727,2300.64721307438,311.69,25.668,1,"Inf"
"sat/sted5_0x24204-50.cnf","GHackCOMSPS_drup",295.925,2646.7323869697,2255.14258011734,337.43,25.668,3,"4994.54354810058"
"sat/sted5_0x24204-50.cnf","COMiniSatPS_Pulsar_drup",83.37,2618.22158742424,2293.88191321043,93.74,25.668,2,"Inf"
"sat/sted5_0x24204-50.cnf","glucose.3.0_PADC_10",92.807,2668.04376515151,2296.72611810379,102.64,25.668,4,"Inf"
"sat/sted5_0x24204-50.cnf","Maple_LCM_Scavel_200_fix2",195.641,2677.51946621212,2318.73101679408,212.74,25.668,5,"4890.12631507818"
"sat/sted5_0x24204-50.cnf","YalSAT",1702.49,5000,1.62974983838647e-12,5000,25.668,7,"Inf"
"sat/sted5_0x24204-50.cnf","cms55.main.all4fixed",263.385,2749.73969818182,2270.00111579883,308,25.668,8,"4974.57316103885"
"sat/sted5_0x24204-50.cnf","CaDiCaL",859.812,2698.98501969697,2320.77392982047,5000,25.668,6,"Inf"
"sat/sted5_0x24204-50.cnf","MapleCOMSPS_LRB_VSIDS_drup",326.982,2731.50421409091,2331.62122843072,359.83,25.668,7,"Inf"
"sat/sted5_0x24204-50.cnf","Candy",725.692,2810.67476030303,2259.5241684598,5000,25.668,3,"Inf"
"sat/sted5_0x24204-50.cnf","expMC_LRB_VSIDS_Switch_2500",184.723,2817.40551560606,2256.24625489292,208.87,25.668,4,"Inf"
"sat/sted5_0x24204-50.cnf","expMC_VSIDS_LRB_Switch_2500",141.148,2807.75566439394,2274.56377077669,162.1,25.668,2,"Inf"
"sat/sted5_0x24204-50.cnf","glucose4.2.1",690.319,2806.45201121212,2295.88337968864,5000,25.668,1,"Inf"
"sat/sted5_0x24204-50.cnf","Maple_LCM_M1",25.682,2772.55504545455,2341.50651568402,27.68,25.668,9,"Inf"
"sat/sted5_0x24204-50.cnf","Maple_LCM.BCrestart_M1",25.668,2926.71538242424,2209.29164355181,27.64,25.668,9,"Inf"
"sat/sted5_0x24204-50.cnf","Riss7.1.fix",749.03,2870.99993166667,2268.60527345754,5000,25.668,6,"Inf"
"sat/sted5_0x24204-50.cnf","Sparrow2Riss.2018.fixfix",1282.211,3186.01952590909,1970.01401659946,5000,25.668,6,"Inf"
"sat/sted5_0x24204-50.cnf","Minisat.v2.2.0.106.ge2dd095",1303.615,2913.10421772727,2254.24494710844,5000,25.668,8,"Inf"
"sat/sted5_0x24204-50.cnf","Maple_LCM_Scavel_fix2",346.029,2805.32175151515,2373.4969643951,384.62,25.668,10,"Inf"
"sat/sted5_0x24204-50.cnf","Maple_CM_Dist",313.35,2826.27043833333,2365.99534515097,371.96,25.668,5,"Inf"
"sat/sted5_0x24204-50.cnf","glucose3.0",51.452,2954.36533636363,2248.93288699559,55.57,25.668,10,"Inf"
"sat/sted5_0x24204-50.cnf","MapleLCMDistChronoBT",258.489,2896.57066863636,2336.57887216509,374.53,25.668,7,"Inf"
"sat/sted5_0x24204-50.cnf","expGlucose",476.615,3053.37598560606,2224.30829210586,5000,25.668,3,"Inf"
"sat/sted5_0x24204-50.cnf","Maple_CM_ordUIP.",128.428,3011.42735545455,2272.9470108774,140.28,25.668,2,"Inf"
"sat/sted5_0x24204-50.cnf","Maple_CM",129.837,2972.71554666667,2316.60290476549,141.18,25.668,1,"Inf"
"sat/sted5_0x24204-50.cnf","expMC_LRB_VSIDS_Switch",425.856,3135.85933151515,2228.14790653051,493.92,25.668,5,"Inf"
"sat/sted5_0x24204-50.cnf","Maple_CM_ordUIP",133.069,3106.55082848485,2259.7450004532,142.99,25.668,4,"Inf"
