"InstanceName","Solver","SequentialRuntime","PredictedRuntime","Prediction_StandardError","ParallelRuntime","VBSRuntime","cores","ResultingTime"
"termes_p11.pddl","symbolic.bidirectional",1.04,1.64333908045979,2.26804628160045,1.04,1.04,1,"1.04"
"termes_p11.pddl","Delfi1",12.23,25.502724137931,44.8966010730793,12.23,1.04,1,"Inf"
"termes_p11.pddl","FDMS1",9.75,27.7208275862069,41.8810941002109,9.75,1.04,1,"Inf"
"termes_p11.pddl","FDMS2",13.85,32.3008045977011,66.7762867258059,13.85,1.04,1,"Inf"
"termes_p11.pddl","Symple.2",19.88,48.1514022988506,82.6189195838905,19.88,1.04,1,"Inf"
"termes_p11.pddl","Planning.PDBs",65.59,79.3843390804598,164.63250565075,65.59,1.04,1,"Inf"
"termes_p11.pddl","Symple.1",20.07,90.9528390804597,116.24488659065,20.07,1.04,1,"Inf"
"termes_p11.pddl","blind",39.3,123.536931034483,339.526822668957,39.3,1.04,1,"Inf"
"termes_p11.pddl","Complementary1",92.46,142.814446633826,322.765556146048,92.46,1.04,1,"Inf"
"termes_p11.pddl","Complementary2",65.63,156.483362068966,354.865558185896,65.63,1.04,1,"Inf"
"termes_p11.pddl","DecStar",369.29,222.90732183908,128.768946932315,369.29,1.04,1,"Inf"
"termes_p11.pddl","Scorpion",252.49,280.065511494253,20.2873124849245,252.49,1.04,1,"Inf"
"termes_p11.pddl","Delfi2",716.28,338.693137931035,442.314312526603,716.28,1.04,1,"Inf"
"termes_p11.pddl","Metis1",717.58,719.61641954023,759.074453563747,717.58,1.04,1,"Inf"
"termes_p11.pddl","Metis2",781.95,807.893510673235,785.892220680383,781.95,1.04,1,"Inf"
