"InstanceName","Solver","SequentialRuntime","PredictedRuntime","Prediction_StandardError","ParallelRuntime","VBSRuntime","cores","ResultingTime"
"snake_p01.pddl","blind",3.72,35.4234027777778,68.341915800463,3.92,3.72,1,"3.92"
"snake_p01.pddl","DecStar",82.12,278.659371527778,411.765161956723,80.4,3.72,2,"80.4"
"snake_p01.pddl","Scorpion",316.26,336.285677083333,41.3252474475752,314.27,3.72,3,"314.27"
"snake_p01.pddl","FDMS1",389.79,500.221284722222,245.381054340887,408.53,3.72,4,"408.53"
"snake_p01.pddl","Delfi1",746.87,558.824822916667,294.993756591632,752.27,3.72,5,"Inf"
"snake_p01.pddl","Metis1",86.76,677.169694444444,737.567642823314,86.14,3.72,6,"86.14"
"snake_p01.pddl","Complementary1",705.15,691.883503472222,285.800486582039,1800,3.72,7,"Inf"
"snake_p01.pddl","symbolic.bidirectional",175.51,795.1540625,830.123867914564,189.56,3.72,8,"189.56"
"snake_p01.pddl","Complementary2",632,797.030541666667,171.217618712647,969.35,3.72,1,"Inf"
"snake_p01.pddl","Metis2",82.72,818.823833333333,761.399661739172,80.1,3.72,2,"Inf"
"snake_p01.pddl","Delfi2",182.43,889.614232638889,731.055978114091,205.24,3.72,3,"Inf"
"snake_p01.pddl","Planning.PDBs",979.57,890.474555555556,276.59408710478,1800,3.72,4,"Inf"
"snake_p01.pddl","FDMS2",990.39,950.108809027778,179.263157093378,921.62,3.72,5,"1480.44482291667"
"snake_p01.pddl","Symple.2",1800,1719.18490277778,332.8809756195,1800,3.72,6,"Inf"
"snake_p01.pddl","Symple.1",1800,1765.17945833333,211.131966407919,1800,3.72,7,"Inf"
