"InstanceName","Solver","SequentialRuntime","PredictedRuntime","Prediction_StandardError","ParallelRuntime","VBSRuntime","cores","ResultingTime"
"spider_p02.pddl","Metis1",12.31,123.923532085562,354.800426230953,11.94,1.68,1,"11.94"
"spider_p02.pddl","blind",1.68,133.646528520499,418.469595192624,1.76,1.68,2,"1.76"
"spider_p02.pddl","DecStar",13.18,183.389793226382,479.693174577533,12.89,1.68,3,"12.89"
"spider_p02.pddl","Metis2",13.34,194.157007130125,458.083662911927,13.43,1.68,4,"13.43"
"spider_p02.pddl","Delfi2",15.14,219.321717468806,478.396673171186,15.14,1.68,5,"15.14"
"spider_p02.pddl","symbolic.bidirectional",36.71,231.312837789662,472.675863610889,43.64,1.68,6,"43.64"
"spider_p02.pddl","Scorpion",241.14,316.0738057041,338.396172604234,235.72,1.68,7,"235.72"
"spider_p02.pddl","Delfi1",910.65,832.299424242425,292.366649505006,909.93,1.68,8,"Inf"
"spider_p02.pddl","FDMS1",917.41,908.784212121213,342.162573846149,911.04,1.68,1,"Inf"
"spider_p02.pddl","Complementary1",956.49,950.135193404634,285.275994256416,1065.66,1.68,2,"Inf"
"spider_p02.pddl","Planning.PDBs",922.23,953.030273618538,279.608666580349,925.66,1.68,3,"Inf"
"spider_p02.pddl","Complementary2",923.86,991.89472459893,253.570152783847,967.3,1.68,4,"Inf"
"spider_p02.pddl","FDMS2",941.95,1003.16011319073,269.80696490327,919.21,1.68,5,"Inf"
"spider_p02.pddl","Symple.2",1515.89,1258.59487165775,588.4135531624,1680.97,1.68,6,"Inf"
"spider_p02.pddl","Symple.1",1513.2,1369.34934402852,551.793375641923,1727.94,1.68,7,"Inf"
