"InstanceName","Solver","SequentialRuntime","PredictedRuntime","Prediction_StandardError","ParallelRuntime","VBSRuntime","cores","ResultingTime"
"E04F19.cnf","glucose_2.0",8.68,425.795458874459,1008.45033401603,9.37,8.68,1,"9.37"
"E04F19.cnf","glueminisat.2.2.5",129.26,717.772393939394,1368.16790607831,148.69,8.68,2,"148.69"
"E04F19.cnf","minisathackminisat_psm_2011.04.01",30.82,693.506023809524,1401.47734984974,32.51,8.68,3,"32.51"
"E04F19.cnf","lingeling.587f.4882048.110513",75.91,786.567158008658,1327.78025790996,86.24,8.68,4,"86.24"
"E04F19.cnf","minisathackreferenceminisat_2.2.0",16.71,838.479584415584,1590.35568581089,18.14,8.68,5,"18.14"
"E04F19.cnf","MPhaseSAT64",314.13,881.528097402598,1608.86719224775,311.55,8.68,6,"311.55"
"E04F19.cnf","RestartSAT_B95",84.73,1097.65575108225,1607.45236201368,108.78,8.68,1,"Inf"
"E04F19.cnf","minisathackcir_minisat_2011.05.13_simp_",69.62,1162.77261471862,1818.66212858116,85.24,8.68,2,"Inf"
"E04F19.cnf","minisathackcontrasat_2011.03.02",66.53,1216.25211904762,1882.36182807872,74.26,8.68,3,"Inf"
"E04F19.cnf","minisathackMiniSAT_2.2.0.agile.26",65.42,1197.79681385281,1920.71074829968,76.84,8.68,4,"Inf"
"E04F19.cnf","SAT09referencesolverprecosat_236",29.42,1314.39843073593,1850.94708859936,35.34,8.68,5,"Inf"
"E04F19.cnf","minisathackLR_GL_SHR_2011.03.02",1386.92,1375.79344805195,1813.16153926947,1858.04,8.68,6,"Inf"
"E04F19.cnf","minisathackEBMiniSAT_2011.03.02",69.71,1292.86368398268,1973.68888226619,44.92,8.68,1,"Inf"
"E04F19.cnf","rcl_2011.04.01",15.85,1460.67282900433,2066.46456500888,16.77,8.68,2,"Inf"
