"InstanceName","Solver","SequentialRuntime","PredictedRuntime","Prediction_StandardError","ParallelRuntime","VBSRuntime","cores","ResultingTime"
"1dlx_c_iq57_a.cnf","glueminisat.2.2.5",386.17,637.85150462963,544.99070335604,553.37,386.17,1,"553.37"
"1dlx_c_iq57_a.cnf","minisathackLR_GL_SHR_2011.03.02",402.47,638.064769675926,834.731501023342,620.88,386.17,2,"620.88"
"1dlx_c_iq57_a.cnf","lingeling.587f.4882048.110513",689.36,901.468849537037,728.180205748687,911.21,386.17,3,"911.21"
"1dlx_c_iq57_a.cnf","glucose_2.0",715.71,1047.59735300926,915.465520821982,1013.75,386.17,4,"1013.75"
"1dlx_c_iq57_a.cnf","minisathackcontrasat_2011.03.02",409.54,1261.21040046296,1572.23585021944,569.14,386.17,5,"569.14"
"1dlx_c_iq57_a.cnf","minisathackEBMiniSAT_2011.03.02",720.67,1318.09220138889,1645.82267646689,1006.87,386.17,6,"1006.87"
"1dlx_c_iq57_a.cnf","MPhaseSAT64",1120.8,1874.95905439815,1447.65513057553,1301.11,386.17,1,"Inf"
"1dlx_c_iq57_a.cnf","minisathackcir_minisat_2011.05.13_simp_",624.97,1640.95312962963,1694.023074223,895.35,386.17,2,"Inf"
"1dlx_c_iq57_a.cnf","SAT09referencesolverprecosat_236",1517.73,1899.59178703704,1483.72134646397,1885.8,386.17,3,"Inf"
"1dlx_c_iq57_a.cnf","minisathackMiniSAT_2.2.0.agile.26",874.66,2016.3545787037,2045.52520209659,1180.02,386.17,4,"Inf"
"1dlx_c_iq57_a.cnf","minisathackreferenceminisat_2.2.0",1383.98,2599.84021296296,1903.5906572145,1944.63,386.17,5,"Inf"
"1dlx_c_iq57_a.cnf","RestartSAT_B95",2023.7,2783.65597453704,1820.99528143975,2838.08,386.17,6,"Inf"
"1dlx_c_iq57_a.cnf","minisathackminisat_psm_2011.04.01",4139.46,3264.06030439815,2186.80340015342,5000,386.17,1,"Inf"
"1dlx_c_iq57_a.cnf","rcl_2011.04.01",5000,3561.5842037037,2096.80873341976,5000,386.17,2,"Inf"
