"InstanceName","Solver","SequentialRuntime","PredictedRuntime","Prediction_StandardError","ParallelRuntime","VBSRuntime","cores","ResultingTime"
"sat/snw_16_9_CCSpreOptpre.cnf","cmsat5_main2",393.71,1771.3902248366,1875.69994815095,393.71,43.23,1,"393.71"
"sat/snw_16_9_CCSpreOptpre.cnf","CHBR_glucose",212.972,1775.26386584967,1934.06715648138,212.972,43.23,1,"Inf"
"sat/snw_16_9_CCSpreOptpre.cnf","cmsat5_autotune2",402.601,1907.05512173203,1850.60257956789,402.601,43.23,1,"Inf"
"sat/snw_16_9_CCSpreOptpre.cnf","BeansAndEggs",97.623,1826.36154526144,1991.34755790001,97.623,43.23,1,"Inf"
"sat/snw_16_9_CCSpreOptpre.cnf","tb_glucose",58.099,1902.81047075163,2001.48898779984,58.099,43.23,1,"Inf"
"sat/snw_16_9_CCSpreOptpre.cnf","MapleCOMSPS_DRUP",183.241,1806.7469372549,2099.34478750978,183.241,43.23,1,"Inf"
"sat/snw_16_9_CCSpreOptpre.cnf","MapleGlucose",152.811,1850.79247794118,2060.35920276091,152.811,43.23,1,"Inf"
"sat/snw_16_9_CCSpreOptpre.cnf","COMiniSatPSChandrasekharDRUP",43.23,1905.15896666667,2048.6531694024,43.23,43.23,1,"Inf"
"sat/snw_16_9_CCSpreOptpre.cnf","MapleCMS",54.507,1949.99569836601,2014.56984011386,54.507,43.23,1,"Inf"
"sat/snw_16_9_CCSpreOptpre.cnf","glueminisat.2210.81.main",147.82,1882.16504428105,2099.78072727233,147.82,43.23,1,"Inf"
"sat/snw_16_9_CCSpreOptpre.cnf","glue_alt",391.777,1978.21732352941,2049.39120980361,391.777,43.23,1,"Inf"
"sat/snw_16_9_CCSpreOptpre.cnf","GHackCOMSPS_DRUP",74.651,1969.25121094771,2102.47378182139,74.651,43.23,1,"Inf"
"sat/snw_16_9_CCSpreOptpre.cnf","Splatz06vmain",1288.13,2063.15678447712,2020.77511251234,1288.13,43.23,1,"Inf"
"sat/snw_16_9_CCSpreOptpre.cnf","MapleCOMSPS_LRB_DRUP",162.939,2080.36670898693,2120.67644783002,162.939,43.23,1,"Inf"
"sat/snw_16_9_CCSpreOptpre.cnf","glucose",376.246,2061.66420833333,2146.6781826508,376.246,43.23,1,"Inf"
"sat/snw_16_9_CCSpreOptpre.cnf","abcdSAT_drup",43.637,2171.18955947712,2094.88424770222,43.637,43.23,1,"Inf"
"sat/snw_16_9_CCSpreOptpre.cnf","tc_glucose",61.339,2165.91426127451,2102.34632088661,61.339,43.23,1,"Inf"
"sat/snw_16_9_CCSpreOptpre.cnf","CHBR_glucose_tuned",208.389,2213.06378251634,2075.2949009516,208.389,43.23,1,"Inf"
"sat/snw_16_9_CCSpreOptpre.cnf","glucose_hack_kiel_newScript",67.571,2188.48738153595,2128.79352712416,67.571,43.23,1,"Inf"
"sat/snw_16_9_CCSpreOptpre.cnf","MapleCOMSPS_CHB_DRUP",97.267,2140.22886633987,2197.12702633442,97.267,43.23,1,"Inf"
"sat/snw_16_9_CCSpreOptpre.cnf","Lingelingbbcmain",175.931,2248.38158986928,2095.06010697679,175.931,43.23,1,"Inf"
"sat/snw_16_9_CCSpreOptpre.cnf","Glucose_nbSat",176.97,2207.4159624183,2263.41648660994,176.97,43.23,1,"Inf"
"sat/snw_16_9_CCSpreOptpre.cnf","gulch",233.958,2586.81825866013,2028.09757901605,233.958,43.23,1,"Inf"
"sat/snw_16_9_CCSpreOptpre.cnf","YALSAT03r",5000,5000,5.03872125349671e-13,5000,43.23,1,"Inf"
"sat/snw_16_9_CCSpreOptpre.cnf","Riss6",160.994,2973.99934084967,2118.99408227737,160.994,43.23,1,"Inf"
